Ticker,Name,Exchange,Category Name,Country
OEDV,"Osage Exploration and Development, Inc.",PNK,,USA
AAPL,Apple Inc.,NMS,Electronic Equipment,USA
BAC,Bank of America Corporation,NYQ,Money Center Banks,USA
AMZN,"Amazon.com, Inc.",NMS,Catalog & Mail Order Houses,USA
T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA
GOOG,Alphabet Inc.,NMS,Internet Information Providers,USA
MO,"Altria Group, Inc.",NYQ,Cigarettes,USA
DAL,"Delta Air Lines, Inc.",NYQ,Major Airlines,USA
AA,Alcoa Corporation,NYQ,Aluminum,USA
AXP,American Express Company,NYQ,Credit Services,USA
DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,USA
BABA,Alibaba Group Holding Limited,NYQ,"Specialty Retail, Other",USA
ABT,Abbott Laboratories,NYQ,Medical Appliances & Equipment,USA
UA,"Under Armour, Inc.",NYQ,Textile - Apparel Clothing,USA
AMAT,"Applied Materials, Inc.",NMS,Semiconductor Equipment & Materials,USA
AMGN,Amgen Inc.,NMS,Biotechnology,USA
